Y(mm),Z(mm),T(s)
0.291726399,-3.058268036,62.03125
0.052665604,-3.564182333,62.1875
0.038234685,-3.523818026,62.34375
0.030026681,-3.506081683,62.5
0.043710389,-3.521700214,62.65625
0.700519566,-4.84611043,62.8125
0.558116499,-4.560040185,62.96875
0.301836651,-3.221437023,63.125
0.110994161,-3.632176779,63.28125
0.017075921,-3.666126698,63.4375
0.033651474,-3.632250246,63.59375
0.00567409,-3.629772623,63.75
0.327868896,-4.962933389,63.90625
0.682402556,-4.614853782,64.0625
0.584701504,-3.654303054,64.21875
0.26376098,-3.138755324,64.375
0.042196954,-3.558653078,64.53125
0.034038235,-3.525276613,64.6875
0.02197482,-3.518281102,64.84375
0.050743029,-3.537940164,65
0.68182282,-4.851602531,65.15625
0.535127558,-4.678050444,65.3125
0.282592543,-3.008446985,65.46875
0.107068321,-3.546287992,65.625
0.030717384,-3.529117961,65.78125
0.042567914,-3.499220588,65.9375
0.018592848,-3.509717049,66.09375
0.438847857,-5.41444111,66.25
0.627670367,-4.715901626,66.40625
0.414709207,-3.430217432,66.5625
0.205917336,-3.315059522,66.71875
0.033832133,-3.591887291,66.875
0.0445883,-3.556998337,67.03125
0.023701508,-3.565719785,67.1875
0.114881407,-3.603863289,67.34375
0.677336158,-4.808303298,67.5
0.619640563,-4.119068107,67.65625
0.293253604,-3.029701516,67.8125
0.091310953,-3.52791724,67.96875
0.028903163,-3.508011862,68.125
0.036808718,-3.497902994,68.28125
0.029794341,-3.50139089,68.4375
0.647778731,-4.712251998,68.59375
0.524362989,-4.609325022,68.75
0.318375471,-3.055066949,68.90625
0.148029831,-3.375949028,69.0625
0.024501226,-3.495921634,69.21875
0.043387746,-3.457467109,69.375
0.018201308,-3.458511102,69.53125
0.217954594,-4.122744004,69.6875
0.692309446,-4.653175963,69.84375
0.606372839,-3.971609547,70
0.269511211,-3.044403765,70.15625
0.054452307,-3.51628861,70.3125
0.034353241,-3.48337947,70.46875
0.025355528,-3.469696438,70.625
0.045632822,-3.482503096,70.78125
0.694601819,-4.805374999,70.9375
0.536466154,-4.645463265,71.09375
0.29514711,-2.988119193,71.25
0.121352386,-3.440077897,71.40625
0.023295138,-3.480852789,71.5625
0.037775255,-3.45469305,71.71875
0.015196946,-3.455027229,71.875
0.379572036,-5.224293631,72.03125
0.619253416,-4.73261909,72.1875
0.580432701,-3.457951785,72.34375
0.244401505,-3.143988471,72.5
0.048390622,-3.486666051,72.65625
0.041850945,-3.465903702,72.8125
0.029332995,-3.456768428,72.96875
0.068256374,-3.460927193,73.125
0.677478434,-4.776691163,73.28125
0.625344821,-4.520621032,73.4375
0.283645371,-2.954144426,73.59375
0.094068964,-3.451680538,73.75
0.044795937,-3.42336779,73.90625
0.048055355,-3.393069003,74.0625
0.03091236,-3.402849646,74.21875
0.462802997,-5.064504557,74.375
0.545297584,-4.54716279,74.53125
0.424118567,-3.457203049,74.6875
0.224092831,-3.167482032,74.84375
0.048167772,-3.467824225,75
0.050708856,-3.43587677,75.15625
0.030906086,-3.42906301,75.3125
0.068140291,-3.442831776,75.46875
0.709804158,-4.709021235,75.625
0.505896214,-4.651510954,75.78125
0.314830116,-3.04163706,75.9375
0.097725703,-3.452275709,76.09375
0.026737803,-3.452951602,76.25
0.042329679,-3.417338474,76.40625
0.02453233,-3.417518453,76.5625
0.37812972,-5.169664963,76.71875
0.6489495,-4.623586537,76.875
0.461383349,-3.594975395,77.03125
0.207003297,-3.190092468,77.1875
0.028348614,-3.468047821,77.34375
0.041217062,-3.417385927,77.5
0.026462618,-3.416931953,77.65625
0.075411851,-3.430642026,77.8125
0.701997671,-4.788674941,77.96875
0.553578184,-4.458834566,78.125
0.286140326,-2.973659789,78.28125
0.071831046,-3.433574928,78.4375
0.029519517,-3.397016093,78.59375
0.038188932,-3.374969897,78.75
0.024474005,-3.381957752,78.90625
0.538188643,-5.356485486,79.0625
0.585461684,-4.714166805,79.21875
0.411933566,-3.366789599,79.375
0.141674621,-3.304649659,79.53125
0.022086866,-3.418217148,79.6875
0.039867017,-3.372442183,79.84375
0.01830297,-3.378430185,80
0.169570099,-3.657329359,80.15625
0.661813054,-4.634246336,80.3125
0.630747148,-4.101304951,80.46875
0.2870583,-2.971052804,80.625
0.072452806,-3.444562074,80.78125
0.030397417,-3.402325299,80.9375
0.034268269,-3.38332926,81.09375
0.03008118,-3.388668039,81.25
0.699044816,-4.97321294,81.40625
0.568203442,-4.590750962,81.5625
0.334248335,-3.150768398,81.71875
0.130938088,-3.35565485,81.875
0.019204044,-3.439385184,82.03125
0.03870803,-3.405326222,82.1875
0.015914815,-3.400832115,82.34375
0.235157977,-4.382116943,82.5
0.707951622,-4.633267118,82.65625
0.605735424,-3.727963666,82.8125
0.254764227,-3.085445509,82.96875
0.05354054,-3.483566282,83.125
0.038785844,-3.452422688,83.28125
0.030339908,-3.44228437,83.4375
0.052822575,-3.456269396,83.59375
0.707006179,-4.751766849,83.75
0.563094705,-4.525279832,83.90625
0.287029709,-2.997589575,84.0625
0.107382822,-3.496112699,84.21875
0.017785162,-3.501024478,84.375
0.03346932,-3.466327067,84.53125
0.009968326,-3.473437628,84.6875
0.43542176,-5.375151842,84.84375
0.686791597,-4.616049791,85
0.366252105,-3.317890526,85.15625
0.194360961,-3.278278554,85.3125
0.030866117,-3.514302927,85.46875
0.040139798,-3.476999251,85.625
0.018736865,-3.471591648,85.78125
0.085667804,-3.498466382,85.9375
0.707217788,-4.700469525,86.09375
0.608437925,-4.382054093,86.25
0.285183096,-2.980352977,86.40625
0.086175403,-3.447593209,86.5625
0.030792355,-3.413937643,86.71875
0.035384855,-3.397552102,86.875
0.024528674,-3.396370151,87.03125
0.557357437,-5.22674077,87.1875
0.618670676,-4.60991591,87.34375
0.370056396,-3.410297953,87.5
0.145907467,-3.35618225,87.65625
0.023471858,-3.478571793,87.8125
0.04033712,-3.434121558,87.96875
0.015226621,-3.444298221,88.125
0.165424037,-3.671943174,88.28125
0.675560028,-4.677249718,88.4375
0.632946204,-4.077816999,88.59375
0.297483956,-3.03700347,88.75
0.088354589,-3.554647018,88.90625
0.022836407,-3.530107096,89.0625
0.031851672,-3.510503206,89.21875
0.007572202,-3.51650629,89.375
0.463088284,-5.392500405,89.53125
0.55858065,-4.723852902,89.6875
0.617549492,-3.478037528,89.84375
0.193385534,-3.178309594,90
0.041206804,-3.426827816,90.15625
0.039094756,-3.388425632,90.3125
0.024631722,-3.396152858,90.46875
0.10937996,-3.453791766,90.625
0.653799073,-4.76381706,90.78125
0.547641852,-4.08244105,90.9375
0.291694144,-3.054433592,91.09375
0.082449179,-3.595703976,91.25
0.019160702,-3.572255705,91.40625
0.029418937,-3.547991904,91.5625
0.010226062,-3.555785852,91.71875
0.622568039,-5.205870965,91.875
0.510190095,-4.776844058,92.03125
0.439344703,-3.357280328,92.1875
0.137518744,-3.262970431,92.34375
0.022403983,-3.364772323,92.5
0.037678166,-3.323379168,92.65625
0.020951914,-3.336009473,92.8125
0.196117501,-3.913278737,92.96875
0.682299597,-4.703341483,93.125
0.60769886,-3.869262052,93.28125
0.290604175,-2.980778016,93.4375
0.050280227,-3.432542485,93.59375
0.03153162,-3.395157374,93.75
0.026107219,-3.398918182,93.90625
0.029697201,-3.400004297,94.0625
0.594734357,-4.7713267,94.21875
0.461967814,-4.562439627,94.375
0.322348634,-3.356922226,94.53125
0.123983533,-3.552816644,94.6875
0.014018106,-3.654182939,94.84375
0.030170349,-3.61271991,95
0.006185,-3.616114548,95.15625
0.220797068,-4.368601617,95.3125
0.639723232,-4.569808559,95.46875
0.57348251,-3.858473244,95.625
0.303426072,-3.05260686,95.78125
0.054115236,-3.553388506,95.9375
0.025473887,-3.522399512,96.09375
0.02516002,-3.513307765,96.25
0.022297264,-3.524135566,96.40625
0.691764744,-4.820539711,96.5625
0.487720849,-4.702908746,96.71875
0.323919444,-3.154517509,96.875
0.122828184,-3.458708249,97.03125
0.016304939,-3.533281256,97.1875
0.032709128,-3.49924259,97.34375
0.008450311,-3.498616777,97.5
0.233310523,-4.369986266,97.65625
0.59969386,-4.578954197,97.8125
0.543142238,-4.032449632,97.96875
0.297224687,-3.101400371,98.125
0.071740722,-3.634604292,98.28125
0.021636142,-3.603518221,98.4375
0.026219594,-3.598908029,98.59375
0.018375324,-3.605347088,98.75
0.658509614,-4.991273778,98.90625
0.50898001,-4.670889391,99.0625
0.356711452,-3.22665709,99.21875
0.133638146,-3.317964875,99.375
0.019515123,-3.411372206,99.53125
0.036161644,-3.374360334,99.6875
0.016090808,-3.380297533,99.84375
0.176183556,-3.739768573,100
0.706820153,-4.619872032,100.15625
0.585609018,-4.110653085,100.3125
0.278855757,-2.956932396,100.46875
0.063112739,-3.371005063,100.625
0.026640643,-3.328169081,100.78125
0.027040273,-3.308628796,100.9375
0.020586623,-3.322119919,101.09375
0.657426791,-5.030572274,101.25
0.525829614,-4.696650772,101.40625
0.363843959,-3.201438994,101.5625
0.150060978,-3.269659277,101.71875
0.023465494,-3.38625311,101.875
